Name of Student,GENERAL APPEARANCE,MANNER OF SPEAKING,PHYSICAL CONDITION,MENTAL ALERTNESS,SELF-CONFIDENCE,ABILITY TO PRESENT IDEAS,COMMUNICATION SKILLS,Student Performance Rating,CLASS
Student 2006,3,3,3,2,3,3,3,5,LessEmployable
Student 2007,4,4,3,3,4,4,3,5,Employable
Student 2008,4,4,3,3,3,3,3,5,Employable
Student 2009,4,4,4,3,3,3,3,3,Employable
Student 2010,5,3,3,4,3,3,3,5,Employable
Student 2011,4,4,4,4,4,4,4,5,Employable
Student 2012,4,4,3,4,3,4,4,5,Employable
Student 2013,5,5,5,5,5,5,4,5,LessEmployable
Student 2014,3,4,4,4,3,4,4,5,Employable
Student 2015,4,3,3,2,3,3,2,5,LessEmployable
Student 2016,3,3,3,3,3,2,2,4,LessEmployable
Student 2017,4,4,3,4,4,4,3,5,LessEmployable
Student 2018,3,3,3,3,3,3,3,4,LessEmployable
Student 2019,5,3,3,3,3,3,3,4,LessEmployable
Student 2020,4,4,4,4,4,4,4,5,LessEmployable
Student 2021,4,4,4,5,5,4,4,5,LessEmployable
Student 2022,4,3,3,4,5,4,3,5,LessEmployable
Student 2023,5,4,5,4,4,4,4,5,Employable
Student 2024,5,4,4,4,4,4,4,3,Employable
Student 2025,5,4,5,5,5,5,4,5,Employable
Student 2026,4,3,3,3,5,3,3,3,LessEmployable
Student 2027,5,5,5,5,5,4,4,4,Employable
Student 2028,5,5,4,4,5,5,4,3,Employable
Student 2029,4,4,4,4,3,3,3,3,LessEmployable
Student 2030,5,5,5,5,5,4,4,3,Employable
Student 2031,5,4,4,4,4,5,4,5,Employable
Student 2032,5,5,5,5,5,5,4,5,Employable
Student 2033,4,3,4,4,3,4,3,5,LessEmployable
Student 2034,4,3,4,4,3,3,3,3,LessEmployable
Student 2035,5,5,4,5,5,4,4,5,LessEmployable
Student 2036,4,4,4,5,5,4,3,5,LessEmployable
Student 2037,5,4,5,5,5,5,5,5,Employable
Student 2038,5,3,3,4,5,3,3,3,Employable
Student 2039,5,5,5,5,4,5,4,5,Employable
Student 2040,5,5,4,5,4,5,5,5,Employable
Student 2041,4,4,3,3,3,4,4,3,LessEmployable
Student 2042,5,5,5,5,5,4,4,5,Employable
Student 2043,5,5,5,5,5,4,4,5,Employable
Student 2044,5,4,5,5,5,4,4,3,Employable
Student 2045,5,4,5,5,5,4,4,5,Employable
Student 2046,4,3,4,3,4,3,3,5,LessEmployable
Student 2047,5,4,5,5,4,4,4,5,LessEmployable
Student 2048,5,3,4,4,3,4,3,5,LessEmployable
Student 2049,5,3,3,3,4,3,3,3,LessEmployable
Student 2050,5,4,5,5,5,4,4,5,Employable
Student 2051,5,5,5,5,5,4,4,3,Employable
Student 2052,5,4,5,5,5,4,4,5,Employable
Student 2053,5,5,5,5,5,5,4,5,Employable
Student 2054,5,4,5,5,5,4,4,5,Employable
Student 2055,5,5,5,5,5,5,4,5,Employable
Student 2056,5,4,5,5,4,4,4,3,Employable
Student 2057,5,3,4,4,4,4,3,5,LessEmployable
Student 2058,4,4,4,4,3,4,4,5,LessEmployable
Student 2059,5,4,5,5,5,4,4,4,Employable
Student 2060,4,5,4,4,4,5,4,5,Employable
Student 2061,4,3,3,3,3,3,3,5,Employable
Student 2062,4,4,4,4,5,4,4,5,LessEmployable
Student 2063,3,3,3,4,3,3,3,5,Employable
Student 2064,4,4,4,3,3,3,3,5,Employable
Student 2065,4,4,4,3,4,3,3,4,LessEmployable
Student 2066,4,4,4,4,4,4,4,4,Employable
Student 2067,3,3,3,4,3,3,3,5,Employable
Student 2068,5,5,3,5,3,5,5,5,Employable
Student 2069,4,4,4,4,4,4,4,5,Employable
Student 2070,4,5,5,5,5,5,5,5,Employable
Student 2071,4,4,4,4,4,4,4,4,Employable
Student 2072,4,3,3,3,3,3,3,5,Employable
Student 2073,3,4,3,4,3,4,3,5,Employable
Student 2074,4,4,4,4,4,4,4,5,LessEmployable
Student 2075,4,3,3,3,4,3,4,5,LessEmployable
Student 2076,4,4,4,4,3,4,3,4,Employable
Student 2077,3,4,4,4,3,4,3,5,Employable
Student 2078,5,4,4,4,4,4,4,5,Employable
Student 2079,4,4,4,3,3,4,4,5,Employable
Student 2080,3,4,4,3,4,4,3,5,LessEmployable
Student 2081,4,3,2,3,2,2,3,5,Employable
Student 2082,4,3,4,3,4,3,3,4,Employable
Student 2083,4,4,3,4,3,4,3,5,LessEmployable
Student 2084,4,4,4,4,3,3,3,5,Employable
Student 2085,5,3,3,4,3,3,3,4,LessEmployable
Student 2086,4,3,3,3,3,3,2,5,Employable
Student 2087,3,4,4,4,4,4,4,5,Employable
Student 2088,4,5,4,5,4,4,4,5,Employable
Student 2089,4,4,4,3,4,4,3,5,LessEmployable
Student 2090,4,4,4,4,3,4,4,5,Employable
Student 2091,5,5,5,5,5,5,4,5,Employable
Student 2092,3,3,3,3,3,2,2,4,Employable
Student 2093,4,4,4,4,4,4,3,5,LessEmployable
Student 2094,4,4,4,4,4,4,4,5,LessEmployable
Student 2095,4,3,3,3,3,3,2,5,Employable
Student 2096,5,4,4,4,4,4,4,4,Employable
Student 2097,3,3,3,3,3,3,3,5,LessEmployable
Student 2098,4,3,4,3,3,3,3,5,Employable
Student 2099,4,3,4,3,3,3,2,5,Employable
Student 2100,2,2,3,3,3,3,3,5,LessEmployable
Student 2101,4,4,3,4,3,4,3,4,LessEmployable
Student 2102,4,4,4,3,3,4,3,5,Employable
Student 2103,4,4,5,4,4,4,4,5,LessEmployable
Student 2104,5,4,4,4,4,3,3,5,LessEmployable
Student 2113,5,4,4,4,4,4,3,5,Employable
Student 2114,5,4,4,4,4,4,3,5,Employable
Student 2115,5,5,4,4,5,4,4,5,Employable
Student 2116,4,3,4,4,4,3,3,4,Employable
Student 2117,5,4,3,3,3,4,4,5,LessEmployable
Student 2118,5,5,5,5,5,5,5,5,Employable
Student 2119,5,4,5,5,5,5,4,5,Employable
Student 2120,5,4,5,5,5,5,4,5,Employable
Student 2121,5,3,5,4,4,3,3,5,Employable
Student 2122,5,4,5,5,5,4,4,4,Employable
Student 2123,5,3,5,4,4,4,3,4,LessEmployable
Student 2124,5,5,5,5,5,4,3,4,Employable
Student 2125,5,5,5,5,5,5,3,5,Employable
Student 2126,5,4,4,4,4,4,4,5,LessEmployable
Student 2127,4,3,4,4,4,3,3,5,LessEmployable
Student 2128,4,4,4,4,4,4,3,5,LessEmployable
Student 2129,4,4,5,4,4,4,3,5,LessEmployable
Student 2130,5,3,5,4,5,5,3,5,Employable
Student 2131,5,3,3,3,3,3,2,5,Employable
Student 2132,4,3,4,3,4,3,4,4,Employable
Student 2133,4,3,4,4,4,3,3,3,Employable
Student 2134,4,3,3,2,3,2,3,4,Employable
Student 2135,5,5,5,5,5,5,4,5,LessEmployable
Student 2136,4,3,4,3,4,3,4,5,LessEmployable
Student 2137,3,3,4,4,4,3,3,4,LessEmployable
Student 2138,4,3,4,4,4,3,3,5,Employable
Student 2139,4,4,4,4,4,3,3,5,Employable
Student 2140,4,4,5,5,4,5,5,5,LessEmployable
Student 2141,4,5,5,5,5,4,5,5,Employable
Student 2142,4,5,5,5,5,4,5,5,Employable
Student 2143,4,4,3,4,4,4,4,5,LessEmployable
Student 2144,4,3,4,4,4,3,3,4,LessEmployable
Student 2145,4,3,4,4,3,4,4,5,LessEmployable
Student 2146,3,3,4,4,4,4,4,5,LessEmployable
Student 2147,5,4,4,4,5,4,5,5,LessEmployable
Student 2148,3,3,3,3,4,3,3,3,Employable
Student 2149,3,3,4,3,4,3,3,3,Employable
Student 2150,3,4,3,4,3,4,3,5,Employable
Student 2151,4,4,4,3,4,4,3,4,LessEmployable
Student 2152,5,4,4,3,3,4,4,4,LessEmployable
Student 2153,4,3,2,4,3,4,3,5,LessEmployable
Student 2154,5,5,5,4,5,4,5,5,LessEmployable
Student 2155,4,2,4,4,3,3,3,5,LessEmployable
Student 2156,5,5,5,5,5,5,5,5,LessEmployable
Student 2157,4,3,3,4,3,3,3,3,Employable
Student 2158,5,4,3,3,3,3,2,3,LessEmployable
Student 2159,5,5,5,5,5,4,5,5,Employable
Student 2160,4,5,5,5,5,5,5,3,LessEmployable
Student 2161,4,5,5,3,3,5,3,5,LessEmployable
Student 2162,4,5,3,5,5,5,3,5,Employable
Student 2163,3,5,5,3,5,5,3,5,Employable
Student 2164,3,3,3,3,3,3,3,5,Employable
Student 2165,4,3,4,4,4,3,3,5,Employable
Student 2166,4,3,4,2,2,2,2,5,LessEmployable
Student 2167,3,2,3,3,3,3,3,5,LessEmployable
Student 2168,5,5,4,5,4,5,4,5,LessEmployable
Student 2169,3,4,3,4,3,4,3,5,Employable
Student 2170,4,3,3,3,3,3,3,5,Employable
Student 2171,5,4,4,4,4,4,4,5,Employable
Student 2172,4,4,4,4,4,4,4,4,Employable
Student 2173,4,4,4,4,3,3,3,5,LessEmployable
Student 2174,5,4,5,5,5,5,4,5,LessEmployable
Student 2175,3,4,3,3,3,3,3,5,LessEmployable
Student 2176,4,3,3,3,3,3,3,5,Employable
Student 2177,4,5,4,4,4,4,4,5,LessEmployable
Student 2178,5,4,4,4,4,4,4,5,Employable
Student 2179,5,5,4,5,4,4,5,4,Employable
Student 2180,4,4,4,4,5,5,5,3,Employable
Student 2181,4,3,3,4,3,3,3,5,LessEmployable
Student 2182,4,5,5,5,4,4,4,5,Employable
Student 2183,4,4,4,3,3,4,3,5,Employable
Student 2184,4,4,4,3,3,4,3,5,Employable
Student 2185,4,5,4,5,5,5,5,5,Employable
Student 2186,4,4,4,4,4,4,3,5,Employable
Student 2187,4,3,3,3,3,3,2,5,LessEmployable
Student 2188,3,3,3,2,3,3,3,5,LessEmployable
Student 2189,4,4,3,3,4,4,3,5,Employable
Student 2190,4,4,3,3,3,3,3,5,Employable
Student 2191,4,4,4,3,3,3,3,3,Employable
Student 2192,5,3,3,4,3,3,3,5,Employable
Student 2193,4,4,4,4,4,4,4,5,Employable
Student 2194,4,4,3,4,3,4,4,5,Employable
Student 2195,5,5,5,5,5,5,4,5,LessEmployable
Student 2196,3,4,4,4,3,4,4,5,Employable
Student 2197,4,3,3,2,3,3,2,5,LessEmployable
Student 2198,3,3,3,3,3,2,2,4,LessEmployable
Student 2199,4,4,3,4,4,4,3,5,LessEmployable
Student 2200,3,3,3,3,3,3,3,4,LessEmployable
Student 2201,5,3,3,3,3,3,3,4,LessEmployable
Student 2202,4,4,4,4,4,4,4,5,LessEmployable
Student 2203,4,4,4,5,5,4,4,5,LessEmployable
Student 2204,4,3,3,4,5,4,3,5,LessEmployable
Student 2205,5,4,5,4,4,4,4,5,Employable
Student 2206,5,4,4,4,4,4,4,3,Employable
Student 2207,5,4,5,5,5,5,4,5,Employable
Student 2208,4,3,3,3,5,3,3,3,LessEmployable
Student 2209,5,5,5,5,5,4,4,4,Employable
Student 2210,5,5,4,4,5,5,4,3,Employable
Student 2211,4,4,4,4,3,3,3,3,LessEmployable
Student 2212,5,5,5,5,5,4,4,3,Employable
Student 2213,5,4,4,4,4,5,4,5,Employable
Student 2214,5,5,5,5,5,5,4,5,Employable
Student 2215,4,3,4,4,3,4,3,5,LessEmployable
Student 2216,4,3,4,4,3,3,3,3,LessEmployable
Student 2217,5,5,4,5,5,4,4,5,LessEmployable
Student 2218,4,4,4,5,5,4,3,5,LessEmployable
Student 2219,5,4,5,5,5,5,5,5,Employable
Student 2220,5,3,3,4,5,3,3,3,Employable
Student 2221,5,5,5,5,4,5,4,5,Employable
Student 2222,5,5,4,5,4,5,5,5,Employable
Student 2223,4,4,3,3,3,4,4,3,LessEmployable
Student 2224,5,5,5,5,5,4,4,5,Employable
Student 2225,5,5,5,5,5,4,4,5,Employable
Student 2226,5,4,5,5,5,4,4,3,Employable
Student 2227,5,4,5,5,5,4,4,5,Employable
Student 2228,4,3,4,3,4,3,3,5,LessEmployable
Student 2229,5,4,5,5,4,4,4,5,LessEmployable
Student 2230,5,3,4,4,3,4,3,5,LessEmployable
Student 2231,5,3,3,3,4,3,3,3,LessEmployable
Student 2232,5,4,5,5,5,4,4,5,Employable
Student 2233,5,5,5,5,5,4,4,3,Employable
Student 2234,5,4,5,5,5,4,4,5,Employable
Student 2235,5,5,5,5,5,5,4,5,Employable
Student 2236,5,4,5,5,5,4,4,5,Employable
Student 2237,5,5,5,5,5,5,4,5,Employable
Student 2238,5,4,5,5,4,4,4,3,Employable
Student 2239,5,3,4,4,4,4,3,5,LessEmployable
Student 2240,4,4,4,4,3,4,4,5,LessEmployable
Student 2241,5,4,5,5,5,4,4,4,Employable
Student 2242,4,5,4,4,4,5,4,5,Employable
Student 2243,4,3,3,3,3,3,3,5,Employable
Student 2244,4,4,4,4,5,4,4,5,LessEmployable
Student 2245,3,3,3,4,3,3,3,5,Employable
Student 2246,4,4,4,3,3,3,3,5,Employable
Student 2247,4,4,4,3,4,3,3,4,LessEmployable
Student 2248,4,4,4,4,4,4,4,4,Employable
Student 2249,3,3,3,4,3,3,3,5,Employable
Student 2250,5,5,3,5,3,5,5,5,Employable
Student 2251,4,4,4,4,4,4,4,5,Employable
Student 2252,4,5,5,5,5,5,5,5,Employable
Student 2253,4,4,4,4,4,4,4,4,Employable
Student 2254,4,3,3,3,3,3,3,5,Employable
Student 2255,3,4,3,4,3,4,3,5,Employable
Student 2256,4,4,4,4,4,4,4,5,LessEmployable
Student 2257,4,3,3,3,4,3,4,5,LessEmployable
Student 2258,4,4,4,4,3,4,3,4,Employable
Student 2259,3,4,4,4,3,4,3,5,Employable
Student 2260,5,4,4,4,4,4,4,5,Employable
Student 2261,4,4,4,3,3,4,4,5,Employable
Student 2262,3,4,4,3,4,4,3,5,LessEmployable
Student 2263,4,3,2,3,2,2,3,5,Employable
Student 2264,4,3,4,3,4,3,3,4,Employable
Student 2265,4,4,3,4,3,4,3,5,LessEmployable
Student 2266,4,4,4,4,3,3,3,5,Employable
Student 2267,5,3,3,4,3,3,3,4,LessEmployable
Student 2268,4,3,3,3,3,3,2,5,Employable
Student 2269,3,4,4,4,4,4,4,5,Employable
Student 2270,4,5,4,5,4,4,4,5,Employable
Student 2271,4,4,4,3,4,4,3,5,LessEmployable
Student 2272,4,4,4,4,3,4,4,5,Employable
Student 2273,5,5,5,5,5,5,4,5,Employable
Student 2274,3,3,3,3,3,2,2,4,Employable
Student 2275,4,4,4,4,4,4,3,5,LessEmployable
Student 2276,4,4,4,4,4,4,4,5,LessEmployable
Student 2277,4,3,3,3,3,3,2,5,Employable
Student 2278,5,4,4,4,4,4,4,4,Employable
Student 2279,3,3,3,3,3,3,3,5,LessEmployable
Student 2280,4,3,4,3,3,3,3,5,Employable
Student 2281,4,3,4,3,3,3,2,5,Employable
Student 2282,2,2,3,3,3,3,3,5,LessEmployable
Student 2283,4,4,3,4,3,4,3,4,LessEmployable
Student 2284,4,4,4,3,3,4,3,5,Employable
Student 2285,4,4,5,4,4,4,4,5,LessEmployable
Student 2286,5,4,4,4,4,3,3,5,LessEmployable
Student 2287,4,4,4,4,3,4,3,5,LessEmployable
Student 2288,4,4,4,4,4,4,4,5,LessEmployable
Student 2289,4,5,4,4,4,4,4,5,LessEmployable
Student 2290,5,5,4,5,5,5,5,5,Employable
Student 2291,4,4,4,4,4,4,4,5,Employable
Student 2292,5,4,4,4,4,4,3,4,LessEmployable
Student 2293,5,4,4,4,4,4,3,3,LessEmployable
Student 2294,5,5,4,4,5,4,5,3,LessEmployable
Student 2295,5,4,4,4,4,4,3,5,Employable
Student 2296,5,4,4,4,4,4,3,5,Employable
Student 2297,5,5,4,4,5,4,4,5,Employable
Student 2298,4,3,4,4,4,3,3,4,Employable
Student 2299,5,4,3,3,3,4,4,5,LessEmployable
Student 2300,5,5,5,5,5,5,5,5,Employable
Student 2301,5,4,5,5,5,5,4,5,Employable
Student 2302,5,4,5,5,5,5,4,5,Employable
Student 2303,5,3,5,4,4,3,3,5,Employable
Student 2304,5,4,5,5,5,4,4,4,Employable
Student 2305,5,3,5,4,4,4,3,4,LessEmployable
Student 2306,5,5,5,5,5,4,3,4,Employable
Student 2307,5,5,5,5,5,5,3,5,Employable
Student 2308,5,4,4,4,4,4,4,5,LessEmployable
Student 2309,4,3,4,4,4,3,3,5,LessEmployable
Student 2310,4,4,4,4,4,4,3,5,LessEmployable
Student 2311,4,4,5,4,4,4,3,5,LessEmployable
Student 2312,5,3,5,4,5,5,3,5,Employable
Student 2313,5,3,3,3,3,3,2,5,Employable
Student 2314,4,3,4,3,4,3,4,4,Employable
Student 2315,4,3,4,4,4,3,3,3,Employable
Student 2316,4,3,3,2,3,2,3,4,Employable
Student 2317,5,5,5,5,5,5,4,5,LessEmployable
Student 2318,4,3,4,3,4,3,4,5,LessEmployable
Student 2319,3,3,4,4,4,3,3,4,LessEmployable
Student 2320,4,3,4,4,4,3,3,5,Employable
Student 2321,4,4,4,4,4,3,3,5,Employable
Student 2322,4,4,5,5,4,5,5,5,LessEmployable
Student 2323,4,5,5,5,5,4,5,5,Employable
Student 2324,4,5,5,5,5,4,5,5,Employable
Student 2325,4,4,3,4,4,4,4,5,LessEmployable
Student 2326,4,3,4,4,4,3,3,4,LessEmployable
Student 2327,4,3,4,4,3,4,4,5,LessEmployable
Student 2328,3,3,4,4,4,4,4,5,LessEmployable
Student 2329,5,4,4,4,5,4,5,5,LessEmployable
Student 2330,3,3,3,3,4,3,3,3,Employable
Student 2331,3,3,4,3,4,3,3,3,Employable
Student 2332,3,4,3,4,3,4,3,5,Employable
Student 2333,4,4,4,3,4,4,3,4,LessEmployable
Student 2334,5,4,4,3,3,4,4,4,LessEmployable
Student 2335,4,3,2,4,3,4,3,5,LessEmployable
Student 2336,5,5,5,4,5,4,5,5,LessEmployable
Student 2337,4,2,4,4,3,3,3,5,LessEmployable
Student 2338,5,5,5,5,5,5,5,5,LessEmployable
Student 2339,4,3,3,4,3,3,3,3,Employable
Student 2340,5,4,3,3,3,3,2,3,LessEmployable
Student 2341,5,5,5,5,5,4,5,5,Employable
Student 2342,4,5,5,5,5,5,5,3,LessEmployable
Student 2343,4,5,5,3,3,5,3,5,LessEmployable
Student 2344,4,5,3,5,5,5,3,5,Employable
Student 2345,3,5,5,3,5,5,3,5,Employable
Student 2346,3,3,3,3,3,3,3,5,Employable
Student 2347,4,3,4,4,4,3,3,5,Employable
Student 2348,4,3,4,2,2,2,2,5,LessEmployable
Student 2349,3,2,3,3,3,3,3,5,LessEmployable
Student 2350,5,5,4,5,4,5,4,5,LessEmployable
Student 2351,3,4,3,4,3,4,3,5,Employable
Student 2352,4,3,3,3,3,3,3,5,Employable
Student 2353,5,4,4,4,4,4,4,5,Employable
Student 2354,4,4,4,4,4,4,4,4,Employable
Student 2355,4,4,4,4,3,3,3,5,LessEmployable
Student 2356,5,4,5,5,5,5,4,5,LessEmployable
Student 2357,3,4,3,3,3,3,3,5,LessEmployable
Student 2358,4,3,3,3,3,3,3,5,Employable
Student 2359,4,5,4,4,4,4,4,5,LessEmployable
Student 2360,5,4,4,4,4,4,4,5,Employable
Student 2361,5,5,4,5,4,4,5,4,Employable
Student 2362,4,4,4,4,5,5,5,3,Employable
Student 2363,4,3,3,4,3,3,3,5,LessEmployable
Student 2364,4,5,5,5,4,4,4,5,Employable
Student 2365,4,4,4,3,3,4,3,5,Employable
Student 2366,4,4,4,3,3,4,3,5,Employable
Student 2367,4,5,4,5,5,5,5,5,Employable
Student 2368,4,4,4,4,4,4,3,5,Employable
Student 2369,4,3,3,3,3,3,2,5,LessEmployable
Student 2370,3,3,3,2,3,3,3,5,LessEmployable
Student 2371,4,4,3,3,4,4,3,5,Employable
Student 2372,4,4,3,3,3,3,3,5,Employable
Student 2373,4,4,4,3,3,3,3,3,Employable
Student 2374,5,3,3,4,3,3,3,5,Employable
Student 2375,4,4,4,4,4,4,4,5,Employable
Student 2376,4,4,3,4,3,4,4,5,Employable
Student 2377,5,5,5,5,5,5,4,5,LessEmployable
Student 2378,3,4,4,4,3,4,4,5,Employable
Student 2379,4,3,3,2,3,3,2,5,LessEmployable
Student 2380,3,3,3,3,3,2,2,4,LessEmployable
Student 2381,4,4,3,4,4,4,3,5,LessEmployable
Student 2382,3,3,3,3,3,3,3,4,LessEmployable
Student 2383,5,3,3,3,3,3,3,4,LessEmployable
Student 2384,4,4,4,4,4,4,4,5,LessEmployable
Student 2385,4,4,4,5,5,4,4,5,LessEmployable
Student 2386,4,3,3,4,5,4,3,5,LessEmployable
Student 2387,5,4,5,4,4,4,4,5,Employable
Student 2388,5,4,4,4,4,4,4,3,Employable
Student 2389,5,4,5,5,5,5,4,5,Employable
Student 2390,4,3,3,3,5,3,3,3,LessEmployable
Student 2391,5,5,5,5,5,4,4,4,Employable
Student 2392,5,5,4,4,5,5,4,3,Employable
Student 2393,4,4,4,4,3,3,3,3,LessEmployable
Student 2394,5,5,5,5,5,4,4,3,Employable
Student 2395,5,4,4,4,4,5,4,5,Employable
Student 2396,5,5,5,5,5,5,4,5,Employable
Student 2397,4,3,4,4,3,4,3,5,LessEmployable
Student 2398,4,3,4,4,3,3,3,3,LessEmployable
Student 2399,5,5,4,5,5,4,4,5,LessEmployable
Student 2400,4,4,4,5,5,4,3,5,LessEmployable
Student 2401,5,4,5,5,5,5,5,5,Employable
Student 2402,5,3,3,4,5,3,3,3,Employable
Student 2403,5,5,5,5,4,5,4,5,Employable
Student 2404,5,5,4,5,4,5,5,5,Employable
Student 2405,4,4,3,3,3,4,4,3,LessEmployable
Student 2406,5,5,5,5,5,4,4,5,Employable
Student 2407,5,5,5,5,5,4,4,5,Employable
Student 2408,5,4,5,5,5,4,4,3,Employable
Student 2409,5,4,5,5,5,4,4,5,Employable
Student 2410,4,3,4,3,4,3,3,5,LessEmployable
Student 2411,5,4,5,5,4,4,4,5,LessEmployable
Student 2412,5,3,4,4,3,4,3,5,LessEmployable
Student 2413,5,3,3,3,4,3,3,3,LessEmployable
Student 2414,5,4,5,5,5,4,4,5,Employable
Student 2415,5,5,5,5,5,4,4,3,Employable
Student 2416,5,4,5,5,5,4,4,5,Employable
Student 2417,5,5,5,5,5,5,4,5,Employable
Student 2418,5,4,5,5,5,4,4,5,Employable
Student 2419,5,5,5,5,5,5,4,5,Employable
Student 2420,5,4,5,5,4,4,4,3,Employable
Student 2421,5,3,4,4,4,4,3,5,LessEmployable
Student 2422,4,4,4,4,3,4,4,5,LessEmployable
Student 2423,5,4,5,5,5,4,4,4,Employable
Student 2424,4,5,4,4,4,5,4,5,Employable
Student 2425,4,3,3,3,3,3,3,5,Employable
Student 2426,4,4,4,4,5,4,4,5,LessEmployable
Student 2427,3,3,3,4,3,3,3,5,Employable
Student 2428,4,4,4,3,3,3,3,5,Employable
Student 2429,4,4,4,3,4,3,3,4,LessEmployable
Student 2430,4,4,4,4,4,4,4,4,Employable
Student 2431,3,3,3,4,3,3,3,5,Employable
Student 2432,5,5,3,5,3,5,5,5,Employable
Student 2433,4,4,4,4,4,4,4,5,Employable
Student 2434,4,5,5,5,5,5,5,5,Employable
Student 2435,4,4,4,4,4,4,4,4,Employable
Student 2436,4,3,3,3,3,3,3,5,Employable
Student 2437,3,4,3,4,3,4,3,5,Employable
Student 2438,4,4,4,4,4,4,4,5,LessEmployable
Student 2439,4,3,3,3,4,3,4,5,LessEmployable
Student 2440,4,4,4,4,3,4,3,4,Employable
Student 2441,3,4,4,4,3,4,3,5,Employable
Student 2442,5,4,4,4,4,4,4,5,Employable
Student 2443,4,4,4,3,3,4,4,5,Employable
Student 2444,3,4,4,3,4,4,3,5,LessEmployable
Student 2445,4,3,2,3,2,2,3,5,Employable
Student 2446,4,3,4,3,4,3,3,4,Employable
Student 2447,4,4,3,4,3,4,3,5,LessEmployable
Student 2448,4,4,4,4,3,3,3,5,Employable
Student 2449,5,3,3,4,3,3,3,4,LessEmployable
Student 2450,4,3,3,3,3,3,2,5,Employable
Student 2451,3,4,4,4,4,4,4,5,Employable
Student 2452,4,5,4,5,4,4,4,5,Employable
Student 2453,4,4,4,3,4,4,3,5,LessEmployable
Student 2454,4,4,4,4,3,4,4,5,Employable
Student 2455,5,5,5,5,5,5,4,5,Employable
Student 2456,3,3,3,3,3,2,2,4,Employable
Student 2457,4,4,4,4,4,4,3,5,LessEmployable
Student 2458,4,4,4,4,4,4,4,5,LessEmployable
Student 2459,4,3,3,3,3,3,2,5,Employable
Student 2460,5,4,4,4,4,4,4,4,Employable
Student 2461,3,3,3,3,3,3,3,5,LessEmployable
Student 2462,4,3,4,3,3,3,3,5,Employable
Student 2463,4,3,4,3,3,3,2,5,Employable
Student 2464,2,2,3,3,3,3,3,5,LessEmployable
Student 2465,4,4,3,4,3,4,3,4,LessEmployable
Student 2466,4,4,4,3,3,4,3,5,Employable
Student 2467,4,4,5,4,4,4,4,5,LessEmployable
Student 2468,5,4,4,4,4,3,3,5,LessEmployable
Student 2469,4,4,4,4,3,4,3,5,LessEmployable
Student 2470,4,4,4,4,4,4,4,5,LessEmployable
Student 2471,4,5,4,4,4,4,4,5,LessEmployable
Student 2472,5,5,4,5,5,5,5,5,Employable
Student 2473,4,4,4,4,4,4,4,5,Employable
Student 2474,5,4,4,4,4,4,3,4,LessEmployable
Student 2475,5,4,4,4,4,4,3,3,LessEmployable
Student 2476,5,5,4,4,5,4,5,3,LessEmployable
Student 2477,5,4,4,4,4,4,3,5,Employable
Student 2478,5,4,4,4,4,4,3,5,Employable
Student 2479,5,5,4,4,5,4,4,5,Employable
Student 2480,4,3,4,4,4,3,3,4,Employable
Student 2481,5,4,3,3,3,4,4,5,LessEmployable
Student 2482,5,5,5,5,5,5,5,5,Employable
Student 2483,5,4,5,5,5,5,4,5,Employable
Student 2484,5,4,5,5,5,5,4,5,Employable
Student 2485,5,3,5,4,4,3,3,5,Employable
Student 2486,5,4,5,5,5,4,4,4,Employable
Student 2487,5,3,5,4,4,4,3,4,LessEmployable
Student 2488,5,5,5,5,5,4,3,4,Employable
Student 2489,5,5,5,5,5,5,3,5,Employable
Student 2490,5,4,4,4,4,4,4,5,LessEmployable
Student 2491,4,3,4,4,4,3,3,5,LessEmployable
Student 2492,4,4,4,4,4,4,3,5,LessEmployable
Student 2493,4,4,5,4,4,4,3,5,LessEmployable
Student 2494,5,3,5,4,5,5,3,5,Employable
Student 2495,5,3,3,3,3,3,2,5,Employable
Student 2496,4,3,4,3,4,3,4,4,Employable
Student 2497,4,3,4,4,4,3,3,3,Employable
Student 2498,4,3,3,2,3,2,3,4,Employable
Student 2499,5,5,5,5,5,5,4,5,LessEmployable
Student 2500,4,3,4,3,4,3,4,5,LessEmployable
Student 2501,3,3,4,4,4,3,3,4,LessEmployable
Student 2502,4,3,4,4,4,3,3,5,Employable
Student 2503,4,4,4,4,4,3,3,5,Employable
Student 2504,4,4,5,5,4,5,5,5,LessEmployable
Student 2505,4,5,5,5,5,4,5,5,Employable
Student 2506,4,5,5,5,5,4,5,5,Employable
Student 2507,4,4,3,4,4,4,4,5,LessEmployable
Student 2508,4,3,4,4,4,3,3,4,LessEmployable
Student 2509,4,3,4,4,3,4,4,5,LessEmployable
Student 2510,3,3,4,4,4,4,4,5,LessEmployable
Student 2511,5,4,4,4,5,4,5,5,LessEmployable
Student 2512,3,3,3,3,4,3,3,3,Employable
Student 2513,3,3,4,3,4,3,3,3,Employable
Student 2514,3,4,3,4,3,4,3,5,Employable
Student 2515,4,4,4,3,4,4,3,4,LessEmployable
Student 2516,5,4,4,3,3,4,4,4,LessEmployable
Student 2517,4,3,2,4,3,4,3,5,LessEmployable
Student 2518,5,5,5,4,5,4,5,5,LessEmployable
Student 2519,4,2,4,4,3,3,3,5,LessEmployable
Student 2520,5,5,5,5,5,5,5,5,LessEmployable
Student 2521,4,3,3,4,3,3,3,3,Employable
Student 2522,5,4,3,3,3,3,2,3,LessEmployable
